CO,CID,SID,ACTIVITY,SCORE,INHIBITION,STDDEV
605,24803264,2929884,1,24,23.21,0.393317
606,24788570,975008,1,24,23.13,0.655517
607,24790214,3157592,1,24,23.12,0.753307
608,17514333,4167927,1,24,23.11,2.32189
609,17385668,2469982,1,24,23.1,0.411277
610,17388269,135490310,1,24,23.09,0.714371
611,49670299,23885215,1,24,23.08,1.14326
612,49678828,1974579,1,24,23.06,1.18305
613,49671743,2818874,1,24,23.04,1.87003
614,4249752,2155640,1,24,23.01,0.712835
615,17509723,6079611,1,24,22.92,0.885967
616,24817579,1470718,1,24,22.9,1.68531
617,26658891,9635730,1,24,22.86,1.71789
618,24840960,660800,1,24,22.84,0.221886
619,51086396,86261568,1,24,22.84,1.22515
620,24707886,5459612,1,24,22.84,1.33869
621,49643893,135443118,1,24,22.84,1.3948
622,24788828,4614366,1,23,22.78,1.45422
623,17505831,1557000,1,23,22.78,0.959865
624,47202854,2868262,1,23,22.72,2.31285
625,24814496,16194382,1,23,22.69,0.400517
626,57260290,16318005,1,23,22.69,1.42972
627,22406154,135521586,1,23,22.67,1.26029
628,49736480,20970638,1,23,22.64,0.856311
629,24783281,5055219,1,23,22.63,0.896257
630,864226,665473,1,23,22.59,0.667052
631,24788843,16189371,1,23,22.53,0.893863
632,17401701,1400145,1,23,22.51,0.669525
633,49725445,135547154,1,23,22.49,0.418709
634,17415547,2896669,1,23,22.48,0.404845
635,26658144,3525904,1,23,22.47,0.83143
636,49825843,24819045,1,23,22.47,1.31777
637,47199420,6470719,1,23,22.47,1.53023
638,51087146,24892212,1,23,22.46,0.542592
639,24835365,5201260,1,23,22.4,0.116508
640,24790036,3345839,1,23,22.3,1.60387
641,24821734,5881608,1,23,22.3,0.957332
642,24813032,16012013,1,23,22.3,1.58874
643,17408321,1143072,1,23,22.29,0.675557
644,17410999,2766182,1,23,22.25,0.013711
645,26725927,1883114,1,23,22.21,1.23349
646,56436644,3598,1,23,22.16,1.29361
647,26661703,135641513,1,23,22.15,2.71724
648,7974362,2887381,1,23,22.15,1.23916
649,17508709,5760474,1,23,22.14,1.31216
650,16952483,3500086,1,23,22.12,2.18661
651,56315608,7485399,1,23,22.1,0.805301
652,51089742,56642851,1,23,22.06,0.582678
653,851150,653711,1,23,21.98,0.549777
654,56436770,24978564,1,23,21.95,1.5367
655,17387017,9582547,1,23,21.89,1.93093
656,49817358,4310690,1,23,21.89,1.46482
657,17432537,5732023,1,22,21.87,0.66082
658,17432482,5735338,1,22,21.84,0.830479
659,49735388,135584548,1,22,21.79,1.16686
660,22413560,2939231,1,22,21.75,0.680615
661,49735070,16033090,1,22,21.74,1.16898
662,14734500,9550608,1,22,21.74,2.1377
663,4248131,2155639,1,22,21.72,0.75345
664,26659331,5911247,1,22,21.71,0.65684
665,14743503,9551861,1,22,21.69,1.28501
666,49642182,54690421,1,22,21.66,1.05285
667,26661488,1994456,1,22,21.62,0.490158
668,847814,378227,1,22,21.6,0.62949
669,848817,651270,1,22,21.6,1.45578
670,845298,135401746,1,22,21.47,0.514634
671,51089937,18575109,1,22,21.47,1.49525
672,49647168,24747653,1,22,21.47,0.531904
673,49680261,7295526,1,22,21.44,0.56094
674,46500260,16759505,1,22,21.43,0.78643
675,22410682,2336835,1,22,21.42,0.869169
676,17387367,9679865,1,22,21.41,0.550349
677,56423591,3152775,1,22,21.4,0.701254
678,24796752,2977478,1,22,21.4,0.209739
679,26670449,4880352,1,22,21.34,1.01315
680,17415858,2265848,1,22,21.31,0.782825
681,49665399,2857627,1,22,21.28,0.642372
682,22401393,2388570,1,22,21.27,1.10629
683,26670662,135675926,1,22,21.26,0.620257
684,4263637,727030,1,22,21.24,1.16132
685,24797027,4139598,1,22,21.23,1.5112
686,24707844,5461698,1,22,21.22,1.41713
687,49820701,6885722,1,22,21.22,1.37123
688,49643115,3129251,1,22,21.22,0.206663
689,22407702,2410681,1,22,21.2,1.13388
690,49646105,17584764,1,22,21.19,0.853959
691,22405512,5281600,1,22,21.14,0.317213
692,22402401,2139920,1,22,21.13,0.985849
693,24782389,1247109,1,22,21.12,3.70577
694,24816081,2155677,1,22,21.08,1.17866
695,49644794,135547301,1,22,21.06,0.567015
696,22404884,7125637,1,22,21.03,0.501205
697,56463403,16656499,1,22,21.03,0.557098
698,24822583,135439693,1,22,21,0.636025
699,49643548,3129247,1,22,20.98,2.22096
700,51089350,3244121,1,22,20.95,1.07282
701,17509482,9582686,1,22,20.95,0.064354
702,51087339,7533289,1,21,20.9,1.07661
703,24802767,54690419,1,21,20.89,1.32148
704,3715341,2999163,1,21,20.89,0.966334
705,47200940,2921215,1,21,20.88,0.736826
706,17433283,5737176,1,21,20.87,0.161015
707,14729297,2978810,1,21,20.87,1.13998
708,49644544,3136126,1,21,20.86,1.16177
709,17510985,2272534,1,21,20.85,1.01771
710,49729830,24792739,1,21,20.84,1.94401
711,57267619,2483502,1,21,20.83,1.93358
712,864026,665278,1,21,20.81,1.46353
713,22409064,4263285,1,21,20.8,0.50119
714,24784057,135460497,1,21,20.78,0.81875
715,26727052,2736413,1,21,20.76,0.586878
716,49668676,5833956,1,21,20.76,1.28595
717,49724201,135693215,1,21,20.75,0.840661
718,17409013,135431504,1,21,20.73,1.12086
719,85147433,44143212,1,21,20.73,1.17638
720,49818987,2917753,1,21,20.72,1.31735
721,49645139,1240200,1,21,20.71,0.544572
722,49816641,2917979,1,21,20.7,0.614262
723,847271,649670,1,21,20.64,0.976739
724,26671496,5728920,1,21,20.58,0.757742
725,47201525,2868184,1,21,20.57,1.76046
726,47201882,6469408,1,21,20.55,1.15786
727,49818906,135421588,1,21,20.51,0.502473
728,49734774,135477530,1,21,20.47,0.918727
729,24781705,3430781,1,21,20.42,0.412288
730,24812949,16193844,1,21,20.4,0.739208
731,49673496,16244947,1,21,20.39,1.68167
732,17414055,1833849,1,21,20.38,1.16706
733,47199642,6470252,1,21,20.36,0.40365
734,49821178,3257365,1,21,20.33,0.219068
735,24824827,16195782,1,21,20.33,0.261344
736,4244250,3238872,1,21,20.33,0.636729
737,26661307,4008175,1,21,20.3,0.906738
738,14741756,135512329,1,21,20.29,0.143258
739,24814895,3864422,1,21,20.26,1.287
740,49641190,135421709,1,21,20.26,0.391495
741,17511317,12005499,1,21,20.24,1.81816
742,24786874,135460556,1,21,20.21,1.13818
743,49643007,2876611,1,21,20.2,1.05787
744,51090609,3629579,1,21,20.2,0.784439
745,3713089,135415440,1,21,20.18,1.60541
746,26664931,314836,1,21,20.14,0.639566
747,51089673,24892478,1,21,20.13,0.636435
748,17388268,1552137,1,21,20.11,0.905053
749,26670615,3590942,1,21,20.11,0.394048
750,4250343,2155641,1,21,20.1,1.04461
751,56422432,65495,1,21,20.07,1.21726
752,24803500,1360981,1,21,20.05,1.47626
753,24791454,1971968,1,21,20.02,1.00818
754,17407001,11958397,1,20,19.97,0.763022
755,11532962,5312126,1,20,19.93,1.77194
756,26658095,2488108,1,20,19.9,0.617994
757,17514471,1646829,1,20,19.88,0.985525
758,24708121,5459641,1,20,19.87,0.913457
759,24816303,4097142,1,20,19.85,0.515339
760,855519,68589,1,20,19.78,0.610382
761,46500239,16759835,1,20,19.78,0.891998
762,24816346,7190532,1,20,19.75,0.704965
763,49642892,2920814,1,20,19.7,1.00491
764,24804153,798561,1,20,19.7,1.10036
765,855768,54675779,1,20,19.67,1.11444
766,26671063,135494520,1,20,19.64,0.444803
767,47199040,6466620,1,20,19.6,0.317144
768,49673957,2315524,1,20,19.59,0.573493
769,14722073,1084688,1,20,19.59,0.74319
770,22402475,4092119,1,20,19.59,0.588486
771,7978354,1119557,1,20,19.58,1.20463
772,4252099,3245694,1,20,19.52,0.432057
773,51089019,16441040,1,20,19.5,0.384139
774,3714959,6602929,1,20,19.5,1.1178
775,49730938,20923743,1,20,19.48,0.381603
776,17409659,1471640,1,20,19.47,2.297
777,17408621,9594695,1,20,19.45,0.780627
778,17401955,11957229,1,20,19.43,0.770358
779,17515824,12006167,1,20,19.43,1.83481
780,49823294,6155246,1,20,19.41,0.631499
781,49714034,24789411,1,20,19.39,1.88904
782,24780175,9593907,1,20,19.39,1.19787
783,46500578,23640928,1,20,19.36,0.687274
784,22412049,6292691,1,20,19.34,2.65357
785,49642369,3129252,1,20,19.34,0.776525
786,3714096,2998666,1,20,19.33,0.236387
787,22410780,4128964,1,20,19.25,2.4833
788,49827535,1371285,1,20,19.22,1.19482
789,49724093,54706027,1,20,19.2,0.90325
790,26670661,135607695,1,20,19.18,2.21874
791,26665854,67277,1,20,19.18,1.46258
792,14739172,5730206,1,20,19.17,0.44446
793,17511246,3899554,1,20,19.17,0.623193
794,24812305,4670108,1,20,19.14,0.885723
795,4262254,1178171,1,20,19.14,0.359925
796,22400466,5180537,1,20,19.13,0.173959
797,17506050,1383822,1,20,19.12,1.04859
798,851926,654532,1,20,19.09,1.2027
799,3713285,2998355,1,20,19.08,1.07532
800,49673494,16244880,1,20,19.07,1.46577
801,49668679,6019408,1,20,19.05,1.34163
802,51085161,24891862,1,20,19.05,0.794834
803,22401588,2517431,1,20,19.04,0.667339
804,26725760,9636047,1,19,18.97,0.542863
805,17416012,5348132,1,19,18.97,0.449361
806,49815787,24816504,1,19,18.96,1.61307
807,26668921,2145570,1,19,18.96,1.20745
808,17515823,12006166,1,19,18.95,1.00975
809,14731629,1314869,1,19,18.95,1.14205
810,24796382,2973911,1,19,18.92,0.577233
811,17412383,1931116,1,19,18.92,0.985009
812,22416671,2966178,1,19,18.92,1.32804
813,49731967,3616901,1,19,18.89,1.28851
814,17407898,1176289,1,19,18.88,0.604787
815,51089765,18567584,1,19,18.85,0.461651
816,24784709,5035618,1,19,18.83,0.560684
817,26660015,3771682,1,19,18.81,0.931363
818,49649577,5731702,1,19,18.74,1.46784
819,14734630,5738419,1,19,18.71,0.462403
820,49716148,24789781,1,19,18.69,1.0504
821,22402727,1862100,1,19,18.68,1.17435
822,24816092,2051141,1,19,18.67,0.781271
823,47199023,6466302,1,19,18.64,0.831938
824,17505019,3723524,1,19,18.64,1.77677
825,49676706,4586109,1,19,18.64,1.03269
826,47203827,135514411,1,19,18.63,0.255198
827,24816466,2155644,1,19,18.62,0.376385
828,26661544,2545377,1,19,18.58,0.641383
829,17505469,4547196,1,19,18.52,0.714529
830,24816144,5058585,1,19,18.49,1.81881
831,17433792,1308620,1,19,18.48,2.56321
832,24823324,4117484,1,19,18.46,0.453168
833,24797173,2975144,1,19,18.42,1.0804
834,14741663,3827459,1,19,18.41,0.297425
835,57264772,16319236,1,19,18.39,0.914184
836,49643092,54679655,1,19,18.38,1.12967
837,864475,665720,1,19,18.37,0.457865
838,24791501,135433227,1,19,18.36,0.315573
839,56463710,3760,1,19,18.36,0.455439
840,26671323,1382255,1,19,18.35,0.526131
841,49725002,24792258,1,19,18.33,0.478661
842,24795110,2887396,1,19,18.33,1.07056
843,49649301,5731541,1,19,18.32,1.28187
844,49724095,54686339,1,19,18.31,1.44662
845,7970946,2104451,1,19,18.27,1.2077
846,24815040,135472807,1,19,18.27,1.21737
847,14723416,1078574,1,19,18.23,2.01388
848,17406905,4431114,1,19,18.19,0.518421
849,56463790,16656471,1,19,18.18,0.853615
850,17505964,12004640,1,19,18.17,0.255417
851,49643547,3129243,1,19,18.16,1.39996
852,24823350,135404087,1,19,18.13,1.40665
853,49680748,2335790,1,19,18.12,0.554715
854,17386181,2319222,1,19,18.12,0.698349
855,49728509,1435125,1,19,18.08,0.831473
856,17401304,900922,1,18,18.07,1.98526
857,26669382,135580294,1,18,18.04,0.604704
858,4246691,2057778,1,18,18.01,0.835185
859,49722755,16018022,1,18,17.99,2.02717
860,24793745,2167819,1,18,17.98,1.15436
861,49734628,135616988,1,18,17.89,1.86639
862,26658237,135527333,1,18,17.88,0.553901
863,17513888,6355971,1,18,17.87,1.44097
864,26726549,2737419,1,18,17.85,0.555948
865,17515726,2138646,1,18,17.85,0.233394
866,24829770,9642180,1,18,17.84,1.06982
867,47199582,6464718,1,18,17.77,0.33851
868,17514061,9638453,1,18,17.76,0.715976
869,22411105,135401294,1,18,17.73,0.493393
870,24824953,16195842,1,18,17.68,0.32614
871,4240960,3235998,1,18,17.64,0.209471
872,24780194,3132761,1,18,17.64,2.2238
873,22405544,4880266,1,18,17.62,0.914951
874,22410573,135401269,1,18,17.59,0.535502
875,24823502,6010977,1,18,17.57,0.658772
876,17410572,5442636,1,18,17.57,0.664749
877,7972661,2875653,1,18,17.55,0.491284
878,14741995,1863987,1,18,17.52,0.952077
879,24835564,812092,1,18,17.52,0.472947
880,24806060,2927361,1,18,17.5,0.620052
881,49648964,1477271,1,18,17.5,0.945462
882,17516515,9654203,1,18,17.49,0.909393
883,7977141,1378646,1,18,17.43,1.04329
884,17387939,1801434,1,18,17.42,0.994289
885,49674073,9624156,1,18,17.38,0.869965
886,26726423,2774384,1,18,17.38,0.5055
887,26658948,135520808,1,18,17.37,0.584979
888,50085759,5181542,1,18,17.35,1.29191
889,17508481,9590384,1,18,17.35,0.666164
890,24840405,16196935,1,18,17.33,1.30655
891,49646756,1957047,1,18,17.32,0.469346
892,26724950,11949201,1,18,17.31,1.44087
893,17433744,2929846,1,18,17.3,0.57438
894,49671429,5920337,1,18,17.28,0.344841
895,14721281,1933256,1,18,17.27,0.70069
896,17416193,9586497,1,18,17.26,2.22267
897,26657454,4374898,1,18,17.17,1.01031
898,17432992,135425047,1,18,17.13,0.254242
899,17506869,2944508,1,17,17.1,0.614026
900,26732040,16746233,1,17,17.03,0.424067
901,24783034,16188025,1,17,17.02,1.31319
902,17504188,12004477,1,17,17,0.485576
903,14725635,634713,1,17,17,1.12481
904,24822947,6619798,1,17,16.98,1.11449
905,49715395,4193386,1,17,16.91,1.33527
906,49817840,2908438,1,17,16.9,0.822807
907,26661420,812102,1,17,16.88,1.65579
908,51085112,24891772,1,17,16.88,0.815938
909,24787474,1882305,1,17,16.87,0.524401
910,26670826,6891709,1,17,16.86,0.527297
911,3712407,2127774,1,17,16.81,2.06656
912,49666843,5730138,1,17,16.79,0.416029
913,26664947,54677920,1,17,16.77,2.18068
914,26725069,11949176,1,17,16.75,1.2768
915,49643982,3119316,1,17,16.75,0.254701
916,3716549,2122162,1,17,16.74,1.60683
917,22412026,3473189,1,17,16.73,0.728559
918,14746996,2354167,1,17,16.71,0.952609
919,24791885,2318621,1,17,16.7,0.969083
920,49670721,1608674,1,17,16.69,1.02116
921,49735129,135616992,1,17,16.68,0.491491
922,49825399,1334360,1,17,16.65,1.54469
923,57260767,16319238,1,17,16.64,0.435576
924,24817677,3849120,1,17,16.64,0.624824
925,14746067,5431927,1,17,16.62,2.42479
926,49731718,20957386,1,17,16.61,0.646119
927,14741969,9625759,1,17,16.6,1.26249
928,47198331,6465863,1,17,16.58,0.913262
929,14741803,6884009,1,17,16.55,1.87412
930,26666180,72512,1,17,16.52,1.55506
931,24791458,135433216,1,17,16.52,0.811809
932,7968513,5309448,1,17,16.51,0.773416
933,24824214,5187457,1,17,16.48,0.995119
934,4250322,2141383,1,17,16.48,1.30428
935,17433747,2929633,1,17,16.47,0.697638
936,7967821,666162,1,17,16.45,1.41145
937,47198954,6467951,1,17,16.45,0.809518
938,49667875,5730217,1,17,16.43,1.62989
939,17509141,1721018,1,17,16.43,0.88158
940,24806855,5346523,1,17,16.39,0.295116
941,49714709,135437688,1,17,16.39,0.540618
942,14734594,2828115,1,17,16.36,0.717943
943,17508307,54681790,1,17,16.35,1.56234
944,49731854,5824720,1,17,16.35,0.934835
945,22400987,2373067,1,17,16.33,0.747714
946,17416248,1906006,1,17,16.3,0.153126
947,17508054,3228917,1,17,16.27,0.432274
948,49680400,9404501,1,17,16.27,1.1296
949,49716262,5989040,1,17,16.26,1.26676
950,50086359,4669114,1,17,16.25,0.583745
951,51085271,4294966,1,17,16.24,0.679078
952,17401700,1400670,1,17,16.23,0.735008
953,26663664,929925,1,17,16.22,1.13455
954,22408702,2565369,1,17,16.2,0.98351
955,49821389,1225752,1,17,16.19,0.202261
956,47201526,23724249,1,16,16.12,0.653857
957,22405719,15945076,1,16,16.1,0.475217
958,17432669,2921187,1,16,16.07,0.969311
959,7975124,704725,1,16,16.07,1.17373
960,17516411,2335047,1,16,16.07,1.41774
961,862934,664173,1,16,16.07,0.926351
962,26659019,4860409,1,16,16.05,1.36489
963,49729463,1580366,1,16,16.03,0.598251
964,49668801,135745100,1,16,16.02,0.973972
965,49644557,135408537,1,16,16.01,1.01592
966,26661614,9612405,1,16,15.98,0.432795
967,17415629,2914243,1,16,15.97,1.64128
968,24839345,2545473,1,16,15.97,1.76693
969,22410743,9610559,1,16,15.97,0.88542
970,26657985,10414856,1,16,15.96,1.69341
971,22404932,135431513,1,16,15.94,0.820857
972,26731965,16746164,1,16,15.93,0.397655
973,22401755,1335166,1,16,15.9,1.69089
974,860748,5389437,1,16,15.9,0.768044
975,22400955,2360361,1,16,15.89,0.241268
976,47201770,23724261,1,16,15.86,0.744943
977,51087566,16805989,1,16,15.84,0.916384
978,47195482,300557,1,16,15.83,1.00285
979,50086472,4905842,1,16,15.83,1.57808
980,24806657,782475,1,16,15.81,0.274052
981,49666794,2885134,1,16,15.8,1.99831
982,4251333,3245034,1,16,15.78,0.420729
983,26658847,3367190,1,16,15.74,0.888788
984,46500196,16759691,1,16,15.71,1.23126
985,14743168,1846661,1,16,15.66,0.104873
986,17385775,6892904,1,16,15.64,0.592078
987,49643662,9564308,1,16,15.58,1.40181
988,56463422,25102633,1,16,15.58,0.811213
989,56463724,16656173,1,16,15.55,0.868178
990,49673136,6213405,1,16,15.54,0.660355
991,49817393,24816794,1,16,15.51,1.09104
992,49681083,135461520,1,16,15.46,1.14992
993,24779602,3449125,1,16,15.44,0.776005
994,4248740,3242778,1,16,15.43,0.905395
995,49669883,5735740,1,16,15.42,0.186882
996,49665229,1075777,1,16,15.41,0.332997
997,47197416,2966064,1,16,15.36,0.711394
998,49726110,135417736,1,16,15.35,0.220367
999,852042,654648,1,16,15.32,1.27888
1000,7972876,795681,1,16,15.28,0.920011
1001,14746705,3361499,1,16,15.27,2.05829
1002,24820351,1087037,1,16,15.25,1.0065
1003,49724844,4267904,1,16,15.23,0.732252
1004,24833236,4000672,1,15,15.21,0.930607
1005,24786534,1319878,1,15,15.19,1.37914
1006,24779601,4109598,1,15,15.19,1.06631
1007,14738380,6619771,1,15,15.17,1.9555
1008,14740809,17573032,0,15,15.15,1.13697
1009,56323659,12303047,0,15,15.07,1.51735
1010,26725535,16745757,0,15,15.05,0.560048
1011,56422785,23687509,0,15,15.03,1.57018
1012,49816050,1934982,0,15,15.02,0.380416
1013,17507765,3138233,0,15,14.92,1.06373
1014,26731937,16746136,0,15,14.92,1.58447
1015,26732014,16746209,0,15,14.91,1.17335
1016,14734026,2930286,0,15,14.91,1.34793
1017,49727106,54679944,0,15,14.91,2.03126
1018,24807031,2908640,0,15,14.9,0.993162
1019,17386615,3416015,0,15,14.88,0.648871
1020,26724165,16745378,0,15,14.85,1.53799
1021,56436672,24983210,0,15,14.81,0.552587
1022,26660123,1917463,0,15,14.81,1.11611
1023,24791712,2083663,0,15,14.75,2.74186
1024,17508215,1933208,0,15,14.74,0.531889
1025,49649238,5731619,0,15,14.74,0.757403
1026,17511256,135517022,0,15,14.73,1.10729
1027,4263992,1295396,0,15,14.72,1.09347
1028,14728149,3957204,0,15,14.71,0.954557
1029,24824397,3833882,0,15,14.68,0.414425
1030,51085148,24891836,0,15,14.68,1.68819
1031,17415479,1365360,0,15,14.67,0.278556
1032,16953032,3347676,0,15,14.67,1.33074
1033,24782347,135460460,0,15,14.65,0.179129
1034,22411460,6141196,0,15,14.65,1.16089
1035,3711154,2532303,0,15,14.63,1.29968
1036,22410552,6905314,0,15,14.58,2.47988
1037,57262600,4680203,0,15,14.55,1.01409
1038,864043,665294,0,15,14.52,0.933591
1039,49727368,3108627,0,15,14.51,0.649341
1040,22410161,2541006,0,15,14.44,0.597407
1041,24802753,1160074,0,15,14.42,1.61502
1042,22411726,15945492,0,15,14.38,0.796927
1043,47199707,6470484,0,15,14.36,0.861248
1044,24838007,2452631,0,15,14.33,1.03498
1045,49667036,2264352,0,15,14.3,1.84371
1046,47194318,135536260,0,15,14.3,0.119706
1047,49679361,135829861,0,14,14.26,0.785236
1048,26661419,135416637,0,14,14.26,1.22703
1049,49679877,3728472,0,14,14.25,1.32622
1050,26659632,16681912,0,14,14.24,1.12772
1051,22400936,2715914,0,14,14.24,1.05494
1052,26661304,2111418,0,14,14.24,0.393759
1053,14742340,6393068,0,14,14.24,0.665864
1054,24781734,9638721,0,14,14.2,0.57575
1055,50086383,4908738,0,14,14.19,1.70901
1056,26665710,135403797,0,14,14.13,1.00452
1057,49666270,135441013,0,14,14.09,1.02797
1058,17386149,1752641,0,14,14.07,0.905207
1059,24837000,4090679,0,14,14.07,0.618991
1060,24835521,9654850,0,14,14.04,1.88397
1061,24823747,16195561,0,14,13.99,0.499293
1062,49728348,54679611,0,14,13.91,0.98864
1063,50085763,3566285,0,14,13.88,0.996823
1064,22411020,3650002,0,14,13.83,0.585472
1065,56422437,54740927,0,14,13.82,0.705732
1066,26663657,4890044,0,14,13.79,1.54385
1067,26671036,135432807,0,14,13.77,0.996687
1068,49670373,674819,0,14,13.75,1.40542
1069,17415532,2954679,0,14,13.68,0.320287
1070,22409089,3431315,0,14,13.65,1.65994
1071,47200478,135613280,0,14,13.63,0.635328
1072,14722947,135459623,0,14,13.62,1.69147
1073,17513990,3876995,0,14,13.62,1.7452
1074,24834908,5095822,0,14,13.61,0.617538
1075,22416035,2910633,0,14,13.6,0.680727
1076,56463735,25102738,0,14,13.58,0.683107
1077,26666944,5953984,0,14,13.55,1.24304
1078,26731983,16746182,0,14,13.55,1.31858
1079,22416982,1321377,0,14,13.48,0.894356
1080,56436779,24983085,0,14,13.45,1.91568
1081,51085733,135853372,0,14,13.45,1.79788
1082,14743266,4888547,0,14,13.38,0.735651
1083,17386594,3484193,0,14,13.33,0.0931201
1084,3713889,2088447,0,13,13.28,0.490548
1085,46500258,16759502,0,13,13.26,1.34324
1086,17433727,2200159,0,13,13.26,0.750217
1087,49733445,135451230,0,13,13.26,2.0115
1088,49734211,2908742,0,13,13.24,1.10123
1089,17511245,2928413,0,13,13.23,0.673771
1090,17409522,3773766,0,13,13.22,0.383646
1091,17408998,6875023,0,13,13.22,0.581085
1092,17387597,1036385,0,13,13.21,1.57522
1093,47195632,5018453,0,13,13.17,1.44435
1094,17515561,12006071,0,13,13.17,0.859836
1095,24823750,16195562,0,13,13.13,0.0718287
1096,50085976,12303047,0,13,13.11,1.49986
1097,26725881,6393804,0,13,13.1,2.65818
1098,14745657,2434862,0,13,13.09,1.59565
1099,17401933,11957214,0,13,13.07,1.24942
1100,17515542,3656804,0,13,13.07,0.970081
1101,7966763,5308428,0,13,13.02,0.752445
1102,26729148,2816464,0,13,12.98,0.420309
1103,22402455,9532258,0,13,12.98,0.503518
1104,49643012,3129244,0,13,12.94,0.996573
1105,14728372,5190981,0,13,12.88,1.28162
1106,26658131,2466262,0,13,12.86,1.00312
1107,49681028,54691678,0,13,12.86,0.527204
1108,47198625,6468742,0,13,12.85,0.933829
1109,49715903,24789743,0,13,12.84,0.990673
1110,22402400,1619027,0,13,12.83,0.964281
1111,51090715,23704906,0,13,12.83,0.836703
1112,49671662,7481245,0,13,12.8,1.26157
1113,49679964,3555482,0,13,12.8,0.900751
1114,49641795,24746830,0,13,12.79,0.751127
1115,24824230,16195670,0,13,12.76,0.445628
1116,22402225,6619097,0,13,12.75,0.311165
1117,26728388,16745957,0,13,12.75,1.85701
1118,17431898,1893706,0,13,12.75,0.346669
1119,49828608,24820022,0,13,12.73,0.475381
1120,17513445,7010816,0,13,12.72,1.00338
1121,14732978,3494575,0,13,12.71,0.958769
1122,49680422,75522,0,13,12.68,1.06549
1123,17408898,5771180,0,13,12.62,1.14231
1124,17515821,12006164,0,13,12.57,0.216493
1125,3717704,2649849,0,13,12.56,0.581481
1126,24816321,7190549,0,13,12.51,1.75795
1127,17517096,4440170,0,13,12.49,0.975624
1128,51090781,4294965,0,13,12.48,1.50861
1129,56463407,16656087,0,13,12.47,3.06371
1130,56436776,24978563,0,13,12.46,1.54163
1131,47196602,135509387,0,13,12.43,1.63763
1132,24810520,16002336,0,13,12.43,0.378588
1133,17505365,1557001,0,13,12.42,0.899929
1134,47199060,6468273,0,12,12.35,1.53222
1135,14727874,4995824,0,12,12.33,1.06051
1136,17515326,9676586,0,12,12.32,1.37561
1137,56315673,7998465,0,12,12.29,1.08624
1138,17385900,2553288,0,12,12.29,0.810765
1139,56463418,25102629,0,12,12.28,0.441001
1140,14741061,4885943,0,12,12.25,0.623562
1141,49670458,135816287,0,12,12.25,1.28805
1142,26724307,4612059,0,12,12.21,0.501384
1143,7977626,1101504,0,12,12.18,0.440904
1144,49723036,22551900,0,12,12.17,3.10005
1145,24801591,5392003,0,12,12.15,0.289337
1146,56463420,25102631,0,12,12.1,1.03852
1147,17504016,2922056,0,12,12.1,1.79171
1148,49679331,9689730,0,12,12.1,0.36608
1149,26670577,2385808,0,12,12.08,1.09417
1150,17509732,20846827,0,12,12.08,1.21658
1151,22402425,4683339,0,12,11.97,2.08236
1152,3715846,2999372,0,12,11.96,14.4474
1153,49824791,3662236,0,12,11.96,1.35709
1154,17407418,11958641,0,12,11.9,1.03346
1155,49675944,16246283,0,12,11.88,0.19363
1156,17409159,135511001,0,12,11.87,1.62191
1157,56463412,25102624,0,12,11.85,1.605
1158,47199083,6465170,0,12,11.84,1.41218
1159,17401601,11957154,0,12,11.84,2.07021
1160,49646832,1498490,0,12,11.84,1.2463
1161,17503974,1987175,0,12,11.82,0.499416
1162,22415030,6164100,0,12,11.81,0.641373
1163,17387294,990305,0,12,11.8,0.577409
1164,4260844,1080599,0,12,11.77,0.643623
1165,24790215,3157589,0,12,11.76,1.0814
1166,26659617,16681900,0,12,11.71,0.253381
1167,4263567,2859888,0,12,11.7,0.821415
1168,47199961,6469391,0,12,11.7,0.527427
1169,14731772,6619057,0,12,11.67,1.04385
1170,46500197,16759688,0,12,11.61,0.643928
1171,855601,2788,0,12,11.61,0.417351
1172,49726194,54675957,0,12,11.57,1.48861
1173,57264764,2483185,0,12,11.54,1.61257
1174,47194054,16654011,0,12,11.53,1.22404
1175,14730815,1331611,0,12,11.49,0.947528
1176,57264318,25163004,0,12,11.46,0.215037
1177,49675487,3878282,0,12,11.45,1.14136
1178,47202598,1389244,0,12,11.45,0.853501
1179,22404156,9586485,0,12,11.42,4.13084
1180,17505448,2174599,0,11,11.41,0.459178
1181,49668264,24761356,0,11,11.41,1.66129
1182,26667298,16682542,0,11,11.4,0.733241
1183,17413335,5734646,0,11,11.35,1.13072
1184,51085120,24891788,0,11,11.32,0.934234
1185,17408110,3147411,0,11,11.3,0.798975
1186,49719381,22576109,0,11,11.26,0.442254
1187,26661564,6224181,0,11,11.25,0.278413
1188,17513293,3861185,0,11,11.17,0.782596
1189,7966982,2141781,0,11,11.12,0.681566
1190,14738616,3420546,0,11,11.11,0.521678
1191,49649576,5731496,0,11,11.06,1.33193
1192,22403644,2367154,0,11,11.06,1.0563
1193,24833096,16196394,0,11,11.04,1.3208
1194,17409043,6874905,0,11,11.01,0.53752
1195,24795482,2887306,0,11,11.01,0.893328
1196,3715660,2999307,0,11,11.01,0.890297
1197,49713787,24789221,0,11,11,0.0914744
1198,49828298,5916262,0,11,10.99,1.62698
1199,3716284,2999544,0,11,10.99,2.29613
1200,26669474,9629711,0,11,10.99,2.30155
1201,24802256,2173003,0,11,10.97,0.798147
1202,24779880,2325417,0,11,10.92,1.12035
1203,49733271,965782,0,11,10.89,1.22522
1204,49647885,24747730,0,11,10.88,0.977529
